name,singer,lyric
Nhắm Mắt Thấy Mùa Hè (Nhắm Mắt Thấy Mùa Hè OST),Nguyên Hà,Rồi đến một ngày ta gặp lại. Ngày có cho mình. Những nỗi đau dài. Ngày em biết. Mình đã thương anh thật rồi. Ngày sẽ nối lại. Những giấc mơ trong đời. Bên nhau dù mai xa nhau. Dù trong ký ức. Trong những khung hình. Nơi xa còn dành riêng nhau. Những nhiệm màu. Mang theo về miền an yên. Chọn quên hết hay. Chọn nhớ thật nhiều. Rồi lại nhớ những. Sớm mai thức dậy. Ngày mai vẫn đến. Nắng vẫn ươm vàng. Mà người biến mất. Như pháo hoa tàn. Dòng thư trao nhau năm ấy. Theo mây ngàn. Ngày mai vẫn đến. Gió hát ngang trời. Còn mình nhắm mắt. Không nói một lời. Lại được thấy mùa hè ta gặp nhau. Lại được sống mùa hè ta gặp nhau. Rồi đến một ngày ta gặp lại. Ngày có cho mình. Những nỗi đau dài. Ngày em biết. Mình đã thương anh thật rồi. Ngày sẽ nối lại. Những giấc mơ trong đời. Bên nhau dù mai xa nhau. Dù trong ký ức. Trong những khung hình. Nơi xa còn dành riêng nhau. Những nhiệm màu. Mang theo về miền an yên. Chọn quên hết hay. Chọn nhớ thật nhiều. Rồi lại nhớ những. Sớm mai thức dậy. Ngày mai vẫn đến. Nắng vẫn ươm vàng. Mà người biến mất. Như pháo hoa tàn. Dòng thư trao nhau năm ấy. Theo mây ngàn. Ngày mai vẫn đến. Gió hát ngang trời. Còn mình nhắm mắt. Không nói một lời. Lại được thấy. Mùa hè ta gặp nhau. Ngày mai vẫn đến. Nắng vẫn ươm vàng. Mà người biến mất. Như pháo hoa tàn. Dòng thư trao nhau năm ấy. Theo mây ngàn. Ngày mai vẫn đến. Gió hát ngang trời. Còn mình nhắm mắt. Không nói một lời. Lại được thấy. Mùa hè ta gặp nhau. Lại được sống. Mùa hè ta gặp nhau
Mùa Hè Tình Yêu,Huỳnh Lộc,Đi bên em giữa bờ cát trắng. Một chiều vàng ở biển vắng. Tìm thấy nhau rồi. Đời còn gì vui hơn. Kỉ niệm đầu cuộc tình đôi ta. Cùng nhìn về một ngày không xa. Cùng nắm tay nhau. Nhìn cuộc đời như giấc mơ oh oh. Và chiều nay trên bãi cát bay. Màu tình yêu đôi ta đắm say. Vì đã có em cầm tay. Mùa hạ có em ở đây. Hòa nhịp con tim anh ngất ngây. Và chiều nay trên bãi cát bay. Màu tình yêu đôi ta đắm say. Chỉ có em cùng với anh. Như gió đưa làn sóng xanh. Vỗ về trái tim. Mình thấy nhau rồi đây. Đi bên em giữa bờ cát trắng. Một chiều vàng ở biển vắng. Tìm thấy nhau rồi. Đời còn gì vui hơn. Kỉ niệm đầu cuộc tình đôi ta. Cùng nhìn về một ngày không xa. Cùng nắm tay nhau. Nhìn cuộc đời như giấc mơ oh oh. Và chiều nay trên bãi cát bay. Màu tình yêu đôi ta đắm say. Vì đã có em cầm tay. Mùa hạ có em ở đây. Hòa nhịp con tim anh ngất ngây. Và chiều nay trên bãi cát bay. Màu tình yêu đôi ta đắm say. Chỉ có em cùng với anh. Như gió đưa làn sóng xanh. Vỗ về trái tim. Mình thấy nhau rồi đây. Anh muốn được ôm em mỗi đêm. Anh muốn được yêu và nhớ thêm. Ước muốn thật nhiều tất cả vì em. Anh muốn được hôn em mỗi đêm. Chẳng muốn lìa xa. Vì trong tim anh đã yêu. Và mong bên em. Và chiều nay trên bãi cát bay. Màu tình yêu đôi ta đắm say. Vì đã có em cầm tay. Mùa hạ có em ở đây. Hòa nhịp con tim anh ngất ngây. Và chiều nay trên bãi cát bay. Màu tình yêu đôi ta đắm say. Chỉ có em cùng với anh. Như gió đưa làn sóng xanh. Vỗ về trái tim. Mình thấy nhau rồi đây. Mình thấy nhau rồi đây
Mưa Hè,Bé Minh Vy,Mưa nhẹ nhàng chợt về trên phố em. Mưa êm đềm. Một chiều qua sân trường em. Mùa hè lắng tiếng hát của tuổi thơ. Bên những hàng cây xanh theo tháng năm. Phố trẻ lại vì chiều nay có mưa. Khắp lối về. Phượng hồng vui trong thơ ngây. Mùa hè đến hát trong niềm yêu thương. Để nụ cười vẫn nở theo em từng ngày. Cơn mưa hè về cùng những nhớ mong. Cơn mưa hè đợi chờ trong thiết tha. Mưa trở lại cùng niềm vui đã xa. Cơn mưa về. Gọi em ngân vang khúc nhạc. Cơn mưa hè về cùng những nhớ mong. Cơn mưa hè đợi chờ trong thiết tha. Mưa trở lại cùng niềm vui đã xa. Cơn mưa về. Gọi em ngân vang khúc nhạc. Mưa nhẹ nhàng chợt về trên phố em. Mưa êm đềm. Một chiều qua sân trường em. Mùa hè lắng tiếng hát của tuổi thơ. Bên những hàng cây xanh theo tháng năm. Phố trẻ lại vì chiều nay có mưa. Khắp lối về. Phượng hồng vui trong thơ ngây. Mùa hè đến hát trong niềm yêu thương. Để nụ cười vẫn nở theo em từng ngày. Cơn mưa hè về cùng những nhớ mong. Cơn mưa hè đợi chờ trong thiết tha. Mưa trở lại cùng niềm vui đã xa. Cơn mưa về. Gọi em ngân vang khúc nhạc. Cơn mưa hè về cùng những nhớ mong. Cơn mưa hè đợi chờ trong thiết tha. Mưa trở lại cùng niềm vui đã xa. Cơn mưa về. Gọi em ngân vang khúc nhạc. Cơn mưa hè về cùng những nhớ mong. Cơn mưa hè đợi chờ trong thiết tha. Mưa trở lại cùng niềm vui đã xa. Cơn mưa về. Gọi em ngân vang khúc nhạc. Cơn mưa hè về cùng những nhớ mong. Cơn mưa hè đợi chờ trong thiết tha. Mưa trở lại cùng niềm vui đã xa. Cơn mưa về. Gọi em ngân vang khúc nhạc. Cơn mưa về. Gọi em ngân vang khúc nhạc
Tuyết Mùa Hè,Đan Trường, Hè. Ca sĩ: Đan Trường. Bỗng nhiên sao. Anh nhớ em. Rất nhiều. Có lẽ vì. Em đã không còn đây. Bỗng nhiên sao. Anh thấy trong lòng. Giá băng đến vô cùng. Dẫu mùa hè. ánh nắng chiếu mọi nơi. Nếu bây giờ. Anh có em bên cạnh. Có lẽ lòng. Anh đã rất hạnh phúc. Nếu bây giờ. Em ở đâu. Hãy cất bước. Quay trở về. Anh vẫn còn. Yêu thiết tha mình em. Tuyết mùa hè. Không có đâu hỡi em. Do trong lòng. Anh nhớ em mà thôi. Đến bây giờ. Anh hiểu ra là. Em quan trọng thế nào. Không có em. Anh chẳng biết. Phải làm sao. Biết bây giờ. Em ở nơi rất xa. Không bao giờ. Em thứ tha cho anh. Biết bây giờ. Anh ở nơi này. Tuyết rơi kín trong lòng. Đã chôn sâu. Anh lấp trong. Nỗi tuyệt vọng. Nếu bây giờ. Anh có em bên cạnh. Có lẽ lòng. Anh đã rất hạnh phúc. Nếu bây giờ. Em ở đâu. Hãy cất bước. Quay trở về. Anh vẫn còn. Yêu thiết tha mình em. Tuyết mùa hè. Không có đâu hỡi em. Do trong lòng. Anh nhớ em mà thôi. Đến bây giờ. Anh hiểu ra là. Em quan trọng thế nào. Không có em. Anh chẳng biết. Phải làm sao. Biết bây giờ. Em ở nơi rất xa. Không bao giờ. Em thứ tha cho anh. Biết bây giờ. Anh ở nơi này. Tuyết rơi kín trong lòng. Đã chôn sâu. Anh lấp trong. Nỗi tuyệt vọng. Đến bây giờ. Anh hiểu ra là. Em quan trọng thế nào. Không có em. Anh chẳng biết. Phải làm sao. Biết bây giờ. Em ở nơi rất xa. Không bao giờ. Em thứ tha cho anh. Biết bây giờ. Anh ở nơi này. Tuyết rơi kín trong lòng. Đã chôn sâu. Anh lấp trong. Nỗi tuyệt vọng. Chỉ có em. Mới giúp anh. Bớt giá lạnh
Mùa Hè Chia Tay,"Hà Anh, Dương Hoàng Yến","Bài Hát: Mùa Hè Chia Tay. Ca Sĩ: Hà Anh, Dương Hoàng Yến. Mùa hè sang. Khi mùa thi đã đi qua rồi. Hàng phượng vĩ. Đã rực cháy đỏ thắm quanh sân. Kìa hàng ghế đá vấn vương. Sân trường còn đâu tiếng cười. Chợt nghe tiếng ve rộn ràng. Hát vang khúc ca mùa hè đã sang. Bạn thân ơi. Bao kỉ niệm còn trong tim mình. Là giây phút. Chúng ta sống hạnh phúc bên nhau. Cùng thầy cô mến thương. Bao mộng ước cho tương lai. Nhưng giờ đây. Giây phút chia tay chợt đến. Quên sao kí ức xưa. Nhớ mãi tiếng cười thuở ấy. Nhớ khi vui buồn cùng với nhau. Quên sao năm tháng xưa. Với ngôi trường cùng bạn bè. Yêu mến thân thương. Giữ trong tim. Kỉ niệm sẽ không bao giờ phai. Mùa hè sang. Khi mùa thi đã đi qua rồi. Hàng phượng vĩ. Đã rực cháy đỏ thắm quanh sân. Kìa hàng ghế đá vấn vương. Sân trường còn đâu tiếng cười. Chợt nghe tiếng ve rộn ràng. Hát vang khúc ca mùa hè đã sang. Bạn thân ơi. Bao kỉ niệm còn trong tim mình. Là giây phút. Chúng ta sống hạnh phúc bên nhau. Cùng thầy cô mến thương. Bao mộng ước cho tương lai. Nhưng giờ đây. Giây phút chia tay chợt đến. Quên sao kí ức xưa. Nhớ mãi tiếng cười thuở ấy. Nhớ khi vui buồn cùng với nhau. Quên sao năm tháng xưa. Với ngôi trường cùng bạn bè. Yêu mến thân thương. Giữ trong tim. Kỉ niệm sẽ không bao giờ phai. Quên sao kí ức xưa. Nhớ mãi tiếng cười thuở ấy. Nhớ khi vui buồn cùng với nhau. Quên sao năm tháng xưa. Với ngôi trường cùng bạn bè. Yêu mến thân thương. Giữ trong tim. Kỉ niệm sẽ không bao giờ phai. Quên sao năm tháng xưa. Với ngôi trường cùng bạn bè. Yêu mến thân thương. Giữ trong tim. Kỉ niệm sẽ không. Không bao giờ phai"
Mùa Hè Yêu Thương,Đông Nhi,Ngày tháng trôi qua mau. cho lòng thêm nuối tiếc. Một thời mộng mơ đã qua. Còn đâu nữa bóng dáng dịu dàng. Tà áo trắng thướt tha sân trường. Sẽ không còn những khi bâng khuâng. Nghe hè về trống vắng. Phượng buồn ngập tràn lối đi. Giọt nước mắt rớt khẽ bờ mi. Làn môi thắm chứa chan nỗi niềm. Luyến lưu ngày cách xa. Từng chiều qua đây. Ngập ngừng vu vơ. Chìm vào trong nỗi nhớ. Nhớ rồi quên bao năm tháng dịu êm. Giờ chỉ là dĩ vãng. Mùa hè ơi sao đến vội vàng. Chia tay nhé bạn thân. Và từ biệt mái trường. Ngày tháng trôi qua mau. Cho lòng thêm nuối tiếc. Một thời mộng mơ đã qua. Còn đâu nữa bóng dáng dịu dàng. Tà áo trắng thướt tha sân trường. Sẽ không còn những khi bâng khuâng. Nghe hè về trống vắng. Phượng buồn ngập tràn lối đi. Giọt nước mắt rớt khẽ bờ mi. Làn môi thắm chứa chan nỗi niềm. Luyến lưu ngày cách xa. Từng chiều qua đây. Ngập ngừng vu vơ. Chìm vào trong nỗi nhớ. Nhớ rồi quên bao năm tháng dịu êm. Giờ chỉ là dĩ vãng. Mùa hè ơi sao đến vội vàng. Chia tay nhé bạn thân. Và từ biệt mái trường. Từng chiều qua đây. Ngập ngừng vu vơ. Chìm vào trong nỗi nhớ. Nhớ rồi quên bao năm tháng dịu êm. Giờ chỉ là dĩ vãng. Mùa hè ơi sao đến vội vàng. Chia tay nhé bạn thân. Và từ biệt mái trường. Mùa hè ơi sao đến vội vàng. Chia tay nhé bạn thân. Và từ biệt mái trường
Mùa Hè Xanh,CLB Giai Điệu Xanh,Từng đàn chim tung bay. Trên những nhịp cầu tre. Mùa hè xanh xôn xao. Nâng bước chân ta về. Từ làng quê tiếng ve. Như gọi mời say mê. Ngoài bờ đê có. Con trâu già nằm ngủ mê. Mùa hè xanh long lanh. Trong mắt đàn trẻ thơ. Trường làng vui cho em. Trang sách mới i tờ. Từ đồng sâu có hay không. Những giọt mồ hôi rơi. Để màu xanh vút lên. Từ ruộng đồng ngát hương. Mùa hè xanh. Mùa hè xanh. Bao yêu thương. Ơi mùa hè xanh vấn vương. Đi muôn phương. Lưu luyến tình quê hương. Trong tim ta. Ơi mùa hè xanh thiết tha. Vang câu ca. Trên những chặng đường xa. Bao yêu thương. Ơi mùa hè xanh vấn vương. Đi muôn phương. Lưu luyến tình quê hương. Trong tim ta. Ơi mùa hè xanh thiết tha. Vang câu ca. Trên những chặng đường xa. Từng đàn chim tung bay. Trên những nhịp cầu tre. Mùa hè xanh xôn xao. Nâng bước chân ta về. Từ làng quê tiếng ve. Như gọi mời say mê. Ngoài bờ đê có. Con trâu già nằm ngủ mê. Mùa hè xanh long lanh. Trong mắt đàn trẻ thơ. Trường làng vui cho em. Trang sách mới i tờ. Từ đồng sâu có hay không. Những giọt mồ hôi rơi. Để màu xanh vút lên. Từ ruộng đồng ngát hương. Mùa hè xanh. Mùa hè xanh. Bao yêu thương. Ơi mùa hè xanh vấn vương. Đi muôn phương. Lưu luyến tình quê hương. Trong tim ta. Ơi mùa hè xanh thiết tha. Vang câu ca. Trên những chặng đường xa. Bao yêu thương. Ơi mùa hè xanh vấn vương. Đi muôn phương. Lưu luyến tình quê hương. Trong tim ta. Ơi mùa hè xanh thiết tha. Vang câu ca. Trên những chặng đường xa. Bao yêu thương. Ơi mùa hè xanh vấn vương. Đi muôn phương. Lưu luyến tình quê hương. Trong tim ta. Ơi mùa hè xanh thiết tha. Vang câu ca. Trên những chặng đường xa
Cơn Gió Mùa Hè,Hoàng Yến Chibi,Dưới những khung trời gió. Diều ai có bay cao. Thì mang những yêu thương này. Gửi đến anh dùm tôi. Dưới gốc cây tùng ấy. Mình tôi vẫn loay hoay. Tìm cách khắc sâu thêm mỗi ngày. Hai trái tim vụng về. Gió cứ hay đi về. Mà anh lại không trở về. Chỉ nghe mùi hương tóc anh thường đến. Làm tôi ngỡ có anh kề bên. Thức giấc tôi bất ngờ. Nhìn quanh rồi tôi thẫn thờ. Buồn ơi vì sao cứ hoài tìm đến. Làm cho tôi nhớ anh thêm nhiều. Dưới những khung trời gió. Diều ai có bay cao. Thì mang những yêu thương này. Gửi đến anh dùm tôi. Dưới gốc cây tùng ấy. Mình tôi vẫn loay hoay. Tìm cách khắc sâu thêm mỗi ngày. Hai trái tim vụng về. Gió cứ hay đi về. Mà anh lại không trở về. Chỉ nghe mùi hương tóc anh thường đến. Làm tôi ngỡ có anh kề bên. Thức giấc tôi bất ngờ. Nhìn quanh rồi tôi thẫn thờ. Buồn ơi vì sao cứ hoài tìm đến. Làm cho tôi nhớ anh thêm nhiều. Nếu có khi anh thấy buồn. Gió vỗ về giùm tôi nhé. Nhắn với anh giùm tôi rằng. Mỗi ngày tôi đều yêu anh. Gió cứ hay đi về. Mà anh lại không trở về. Chỉ nghe mùi hương tóc anh thường đến. Làm tôi ngỡ có anh kề bên. Thức giấc tôi bất ngờ. Nhìn quanh rồi tôi thẫn thờ. Buồn ơi vì sao cứ hoài tìm đến. Làm cho tôi nhớ anh thêm nhiều. Làm cho tôi nhớ anh. Thêm nhiều
Chơi Cả Mùa Hè,Bảo Hân,"Hè lại về lòng em sao vui ghê. Không ôn thi và chẳng phải học bài. Không ai la và không ai kêu ca. Được thức khuya, được ngủ thêm. Hè lại về lòng em sao vui ghê. Xem phim xong. Thì em chơi trong phòng. Ăn cơm xong thì em đi đá bóng. Đi ăn kem thật vui ôi vui quá. Thích nhất là được nghỉ ở quê nhà. Có ông bà và chú bác cô dì. Cứ tha hồ được hái trái leo cây. Chơi ô quan cùng với lũ trẻ. Cứ chiều chiều lại đón gió thả diều. Chán tắm sông thì bắt ếch trên đồng. Chán năm mười thì kể những chuyện cười. Em mong sao hè mãi. Tuyệt vời thật vui. Hè lại về lòng em sao vui ghê. Không ôn thi và chẳng phải học bài. Không ai la và không ai kêu ca. Được thức khuya, được ngủ thêm. Hè lại về lòng em sao vui ghê. Xem phim xong. Thì em chơi trong phòng. Ăn cơm xong thì em đi đá bóng. Đi ăn kem thật vui ôi vui quá. Thích nhất là được nghỉ ở quê nhà. Có ông bà và chú bác cô dì. Cứ tha hồ được hái trái leo cây. Chơi ô quan cùng với lũ trẻ. Cứ chiều chiều lại đón gió thả diều. Chán tắm sông thì bắt ếch trên đồng. Chán năm mười thì kể những chuyện cười. Em mong sao mùa hè thật vui. Thích nhất là được nghỉ ở quê nhà. Có ông bà và chú bác cô dì. Cứ tha hồ được hái trái leo cây. Chơi ô quan cùng với lũ trẻ. Cứ chiều chiều lại đón gió thả diều. Chán tắm sông thì bắt ếch trên đồng. Chán năm mười thì kể những chuyện cười. Em mong sao hè mãi. Tuyệt vời thật vui"
Mùa Hè Vui,Xuân Nghi,Bài Hát: Mùa Hè Vui. Ca Sĩ: Xuân Nghi. Kìa ngoài đồng. đàn bò đùa vui tung tăng. Mặt trời hồng. bình minh đem nắng mới lên. Ôi vui sao vui sao. mùa hè ta đợi chờ đã đến. Hãy cất tiếng hát vang. mùa hè vui đợi chờ ta đó. Oh~oh~oh~oh. Đường gập ghềnh. đường dài bàn chân tiến bước. Mặt trời hồng. hoà trong nắng sớm tiếng ve. Hoa lung linh cho cây. ngàn phượng hồng đỏ khoe sắc thắm. Gió khẽ hát khúc ca. mùa hè ước mơ đã đến rồi. Ve ve hè về vang khúc hát. hãy nắm tay đón chào. Vui vui hè về hương thơm ngát. đất quê trời của ta. Xanh xanh bầu trời xanh mây trắng. muôn hoa khoe sắc màu. Xôn xao mặt đường quê yêu dấu. cất bước lên bạn ơi. Kìa ngoài đồng. đàn bò đùa vui tung tăng. Mặt trời hồng. bình minh đem nắng mới lên. Ôi vui sao vui sao. mùa hè ta đợi chờ đã đến. Hãy cất tiếng hát vang. mùa hè vui đợi chờ ta đó. Oh~oh~oh~oh. Đường gập ghềnh. đường dài bàn chân tiến bước. Mặt trời hồng. hoà trong nắng sớm tiếng ve. Hoa lung linh cho cây. ngàn phượng hồng đỏ khoe sắc thắm. Gió khẽ hát khúc ca. mùa hè ước mơ đã đến rồi. Ve ve hè về vang khúc hát. hãy nắm tay đón chào. Vui vui hè về hương thơm ngát. đất quê trời của ta. Xanh xanh bầu trời xanh mây trắng. muôn hoa khoe sắc màu. Xôn xao mặt đường quê yêu dấu. cất bước lên bạn ơi. Ve ve hè về vang khúc hát. hãy nắm tay đón chào. Vui vui hè về hương thơm ngát. đất quê trời của ta. Xanh xanh bầu trời xanh mây trắng. muôn hoa khoe sắc màu. Xôn xao mặt đường quê yêu dấu. cất bước lên bạn ơi. Ve ve hè về vang khúc hát. hãy nắm tay đón chào. Vui vui hè về hương thơm ngát. đất quê trời của ta. Xanh xanh bầu trời xanh mây trắng. muôn hoa khoe sắc màu. Xôn xao mặt đường quê yêu dấu. cất bước lên bạn ơi
